15/16,Golden State Warriors,1077,2592,2412,4567,1366,1790,816,2972,2373,689,498,1245,1701,9421
15/16,Oklahoma City Thunder/Seattle SuperSonics,678,1945,2694,5137,1616,2067,1071,2916,1883,603,487,1305,1691,9038
15/16,Sacramento Kings,660,1839,2623,5244,1514,2089,868,2760,2009,733,368,1326,1676,8740
15/16,Houston Rockets,878,2533,2216,4314,1671,2407,930,2601,1821,821,430,1307,1790,8737
15/16,Boston Celtics,717,2142,2499,5176,1520,1929,950,2733,1981,752,348,1127,1796,8669
15/16,Portland Trail Blazers,864,2336,2303,4704,1424,1889,948,2782,1748,562,380,1200,1782,8622
15/16,Los Angeles Clippers,797,2190,2344,4569,1490,2152,721,2727,1873,709,460,1063,1746,8569
15/16,Cleveland Cavaliers,880,2428,2291,4460,1333,1783,873,2777,1861,551,317,1114,1666,8555
15/16,Washington Wizards,709,1983,2529,5050,1349,1849,743,2688,2005,708,323,1186,1708,8534
15/16,San Antonio Spurs,570,1518,2719,5279,1342,1672,770,2831,2010,677,485,1071,1433,8490
15/16,Charlotte Hornets/Bobcats,873,2410,2163,4512,1534,1941,734,2869,1778,595,438,1030,1487,8479
15/16,Atlanta Hawks,815,2326,2353,4597,1282,1638,679,2772,2100,747,486,1226,1570,8433
15/16,New Orleans/Oklahoma City/New Orleans Pelicans/Hornets,702,1951,2451,5089,1415,1823,782,2712,1818,633,342,1102,1713,8423
15/16,Toronto Raptors,708,1915,2298,4754,1702,2190,836,2724,1536,636,449,1073,1610,8422
15/16,Minnesota Timberwolves,455,1347,2640,5321,1753,2213,821,2587,1916,656,375,1231,1696,8398
15/16,Dallas Mavericks,806,2342,2258,4558,1454,1831,751,2781,1813,560,306,1047,1595,8388
15/16,Indiana Pacers,663,1889,2479,5096,1430,1872,847,2779,1741,742,391,1219,1641,8377
15/16,Orlando Magic,636,1818,2606,5302,1249,1649,843,2709,1933,673,417,1155,1701,8369
15/16,Detroit Pistons,740,2148,2371,4939,1399,2095,1021,2777,1594,573,304,1110,1557,8361
15/16,Denver Nuggets,656,1943,2437,5060,1513,1974,941,2718,1858,609,395,1202,1723,8355
15/16,Chicago Bulls,651,1753,2514,5417,1354,1720,907,2889,1870,495,470,1141,1545,8335
15/16,Phoenix Suns,738,2118,2313,4900,1431,1905,943,2733,1701,632,313,1410,1858,8271
15/16,Miami Heat,498,1480,2652,5217,1406,1889,807,2811,1709,553,531,1155,1502,8204
15/16,Memphis Grizzlies,504,1521,2515,5338,1584,2024,916,2497,1697,724,350,1090,1783,8126
15/16,Milwaukee Bucks,440,1277,2705,5463,1392,1863,858,2559,1895,672,475,1247,1695,8122
15/16,Brooklyn/New Jersey Nets,531,1508,2605,5412,1286,1699,863,2614,1829,627,332,1212,1476,8089
15/16,New York Knicks,610,1762,2412,5124,1411,1753,850,2788,1682,467,466,1099,1616,8065
15/16,Utah Jazz,694,1956,2263,4637,1402,1885,880,2665,1555,631,425,1224,1655,8010
15/16,Philadelphia 76ers,764,2255,2206,4632,1284,1850,777,2605,1765,680,495,1343,1780,7988
15/16,Los Angeles Lakers,639,2016,2241,4940,1583,2028,878,2645,1478,593,337,1124,1662,7982
14/15,Golden State Warriors,883,2217,2527,4920,1313,1709,853,2814,2248,762,496,1185,1628,9016
14/15,Los Angeles Clippers,827,2202,2401,4628,1468,2067,784,2711,2031,640,409,1012,1749,8751
14/15,Dallas Mavericks,732,2082,2523,4954,1386,1843,858,2608,1846,663,371,1062,1644,8628
14/15,Toronto Raptors,726,2060,2382,4769,1585,2014,881,2526,1701,615,357,1057,1712,8527
14/15,Oklahoma City Thunder/Seattle SuperSonics,632,1864,2552,5255,1524,2020,1052,2844,1681,598,454,1205,1829,8524
