AT,Atlanta Hawks,893,2502,2285,4653,1280,1658,876,2722,1919,738,424,1262,1768,8529
BC,Boston Celtics,735,2213,2433,4822,1570,2042,883,2769,1851,623,425,1141,1664,8641
BN,Brooklyn Nets,816,2232,2598,5217,1581,2049,902,2965,1888,780,457,1092,1671,9225
CH,Charlotte Hornets,950,2576,2287,4516,1161,1496,732,2909,2012,539,450,1071,1631,8585
CB,Chicago Bulls,731,2121,2505,4978,1197,1555,843,2698,1939,602,378,1100,1541,8400
CC,Cleveland Cavaliers,850,2353,2483,4931,1271,1644,902,2724,2024,598,349,1033,1690,8787
DM,Dallas Mavericks,788,2074,2247,4403,1411,1827,727,2923,1743,535,280,1225,1591,8269
DN,Denver Nuggets,808,2153,2646,5095,1403,1794,770,2576,1972,681,404,982,1653,9119
DP,Detroit Pistons,767,2098,2377,4732,1346,1726,656,2861,1929,551,339,1046,1434,8401
GS,Golden State Warriors,737,2277,2444,5034,1450,1905,963,2604,1862,705,313,1272,1588,8549
HR,Houston Rockets,820,2389,2555,4897,1415,1819,878,2735,1979,697,409,1235,1674,8985
IP,Indiana Pacers,849,2389,2266,4520,1557,1974,879,2751,1832,661,407,1225,1599,8636
LC,Los Angeles Clippers,753,2154,2410,4845,1480,1917,837,2700,1891,577,258,1084,1835,8559
LL,Los Angeles Lakers,830,2245,2575,4808,1499,1966,843,2801,2110,698,440,1188,1520,9139
MG,Memphis Grizzlies,813,2299,2051,4166,1658,2202,761,2692,1645,574,410,1171,1708,8199
MH,Miami Heat,639,1864,2469,5040,1518,1940,837,2737,1611,556,398,1121,1530,8373
MB,Milwaukee Bucks,816,2312,2300,4490,1464,1900,845,2636,1974,609,375,1205,1579,8512
MT,Minnesota Timberwolves,811,2213,2435,4616,1445,1881,806,2508,1896,629,413,1169,1681,8748
NP,New Orleans Pelicans,863,2445,2423,4854,1293,1697,872,3091,1921,603,348,1144,1581,8728
NK,New York Knicks,806,2313,2453,4850,1533,1988,953,2715,1786,615,377,1060,1516,8857
OT,Oklahoma City Thunder,724,2036,2491,4962,1525,1996,750,2583,1758,698,450,1129,1697,8679
OM,Orlando Magic,794,2161,2510,4920,1425,1860,799,2934,1936,622,419,1069,1532,8827
P7,Philadelphia 76ers,729,2044,2515,4999,1650,2135,886,2802,1859,704,446,1241,1610,8867
HS,Phoenix Suns,825,2159,2475,4911,1868,2387,840,2772,1818,663,435,1222,1822,9293
PB,Portland Trail Blazers,762,2058,2451,5011,1706,2173,830,2778,1688,633,431,1052,1624,8894
SK,Sacramento Kings,896,2462,2257,4362,1546,1988,826,2689,1941,694,420,1145,1646,8748
SS,San Antonio Spurs,668,1942,2364,4897,1315,1705,800,2600,1757,614,333,1184,1623,8047
TR,Toronto Raptors,794,2240,2258,4561,1519,1948,831,2619,1786,547,392,1200,1666,8417
UJ,Utah Jazz,671,1874,2307,4849,1308,1701,742,2554,1463,598,312,995,1655,7935
WW,Washington Wizards,810,2224,2443,4754,1489,1982,868,2661,1870,606,377,1257,1621,8805
