AT,Atlanta Hawks,729,2137,2394,4781,1484,2039,842,2793,1938,672,397,1294,1491,8459
BC,Boston Celtics,985,2742,2183,4236,1536,1903,744,2698,2069,617,340,1088,1686,8857
BN,Brooklyn Nets,877,2591,2225,4396,1592,2020,721,2879,1756,593,387,1356,1726,8673
CH,Charlotte Hornets,824,2347,2269,4653,1591,1953,721,2853,1891,571,390,942,1360,8601
CB,Chicago Bulls,623,1831,2546,5310,1474,1848,999,2797,1851,643,393,1112,1455,8435
CC,Cleveland Cavaliers,1067,2779,2208,4184,1431,1913,766,2821,1858,539,327,1121,1486,9048
DM,Dallas Mavericks,878,2473,2090,4277,1215,1516,647,2516,1705,614,307,972,1567,8029
DN,Denver Nuggets,870,2365,2507,4829,1537,1986,966,2837,2077,568,323,1226,1567,9161
DP,Detroit Pistons,631,1915,2638,5367,1140,1586,908,2838,1732,574,310,973,1467,8309
GS,Golden State Warriors,982,2562,2550,4578,1457,1850,770,2873,2491,785,555,1211,1585,9503
HR,Houston Rockets,1181,3306,2124,3846,1667,2177,892,2746,2070,670,352,1240,1634,9458
IP,Indiana Pacers,709,1885,2512,5046,1467,1811,742,2702,1844,669,409,1130,1597,8618
LC,Los Angeles Clippers,841,2245,2401,4575,1586,2128,738,2790,1848,612,347,1062,1626,8911
LL,Los Angeles Lakers,730,2110,2494,5054,1397,1853,933,2636,1716,674,320,1243,1698,8575
MG,Memphis Grizzlies,767,2169,2217,4685,1504,1918,886,2621,1744,653,344,1059,1840,8239
MH,Miami Heat,808,2213,2394,4824,1248,1768,872,2705,1742,588,469,1102,1680,8460
MB,Milwaukee Bucks,720,1946,2462,4769,1413,1839,723,2589,1984,666,436,1145,1660,8497
MT,Minnesota Timberwolves,601,1723,2634,5199,1586,1986,938,2540,1940,654,370,1150,1646,8657
NP,New Orleans Pelicans,768,2196,2442,4934,1368,1825,703,2879,1869,638,453,1054,1490,8556
NK,New York Knicks,704,2022,2540,5234,1364,1731,983,2723,1786,581,455,1139,1668,8556
OT,Oklahoma City Thunder,692,2116,2545,5053,1575,2113,1002,2821,1721,648,408,1230,1715,8741
OM,Orlando Magic,701,2139,2438,4994,1309,1753,807,2734,1820,580,396,1091,1584,8288
P7,Philadelphia 76ers,831,2443,2257,4549,1393,1806,807,2706,1949,692,420,1366,1793,8400
HS,Phoenix Suns,615,1854,2655,5406,1676,2159,976,2712,1604,673,399,1265,2030,8831
PB,Portland Trail Blazers,852,2272,2391,4787,1513,1940,830,2750,1733,574,408,1126,1736,8851
SK,Sacramento Kings,737,1960,2368,4774,1483,1913,715,2652,1844,627,324,1201,1667,8430
SS,San Antonio Spurs,753,1927,2469,4937,1440,1806,821,2777,1954,655,484,1101,1498,8637
TR,Toronto Raptors,725,1996,2486,4922,1615,2028,871,2676,1517,677,400,1041,1708,8762
UJ,Utah Jazz,791,2128,2242,4387,1401,1875,771,2774,1651,550,410,1118,1545,8258
WW,Washington Wizards,756,2030,2632,5107,1421,1812,843,2671,1956,693,336,1162,1745,8953
